"st_id","st_day","st_start","st_high","st_low","st_close","st_before","st_trade","st_money"
"A005930","2019-05-22","43700","43800","42400","43500","350","11033339","477854000000"
"A005930","2019-05-23","43900","44000","43250","43850","350","12259006","536198000000"
"A005930","2019-05-24","43800","43800","42400","42700","-1150","13966305","599085000000"
"A005930","2019-05-27","42500","43000","42350","42650","-50","8066669","344044000000"
"A005930","2019-05-28","42550","42950","42150","42550","-100","24506881","1042866000000"
"A005930","2019-05-29","41850","42100","41300","41800","-750","14930618","623333000000"
"A005930","2019-05-30","42200","42700","42150","42550","750","11766018","499610000000"
"A005930","2019-05-31","42600","42800","42150","42500","-50","11365999","483167000000"
"A005930","2019-06-03","42950","43900","42500","43800","1300","15466580","673362000000"
"A005930","2019-06-04","43400","43700","43000","43450","-350","9913497","429428000000"
"A005930","2019-06-05","44050","44200","43700","43900","450","12464135","548114000000"
"A005930","2019-06-07","43600","44350","43450","44200","300","11683682","513994000000"
"A005930","2019-06-10","44300","44850","44050","44800","600","8792182","391891000000"
"A005930","2019-06-11","44800","45000","44550","44850","50","6664872","298796000000"
"A005930","2019-06-12","44800","45050","44300","44600","-250","8607439","384320000000"
"A005930","2019-06-13","44200","44400","43400","43750","-850","16906541","740494000000"
"A005930","2019-06-14","43750","44150","43300","44000","250","9322873","408763000000"
"A005930","2019-06-17","43750","44050","43400","43900","-100","7359515","322242000000"
